order_id,customer_unique_id,customer_id,delivered_in_days,time_of_purchase,month_of_purchase,delivery_speed_flag,delivery_distance_in_km,installment_value,high_installment_flag,used_voucher,is_repeat_buyer,num_orders,total_purchase_value,review_score
e0b26f14d2bcc710bb02f77a4628763b,f40ab89b622248b7ca125af4b486b887,fbd40c083aa8cddebb5265b2ba6aaf2e,13.0,18,5,2,,155.7,0,0,0,1,124.99,4
c7a148eaa21451580d307090417eae25,2f9eee5a95f6d3bf5c48ada163c1723b,6927bd0a23db4343c12b52a5687a4294,7.0,3,1,1,17.82,20.59,1,0,0,1,32.9,3
6f6785dde266434130a2aa8af06a52b7,854c37b10f4e835f6bc91355c9a7346c,e19274edf7a9c51689822810be84c9e9,11.0,20,6,1,299.45,49.34,1,0,0,1,84.0,5
b4e517beb22f957e76469c4b7eed9f8b,f50b0ade21665c5b41d8d1db10ef9932,75356ef942799219979533e3b50950de,34.0,22,12,3,,72.57,1,0,0,1,699.99,4
6cd9dc64e9570c2a9555406d8148ec0a,19fc84ee7b31c32b5a32d81b5f1808be,03e309adaa7741b79f72be256ae1c3c8,8.0,20,8,1,70.51,41.47,1,0,0,1,32.2,4
6f6fb5a1685d21efac70b753fd9f70a3,442744b6da00323e5f67a7414cfdf670,86f4256cd3618d9110edfb952a008c65,7.0,8,10,1,,57.68,1,0,0,1,49.9,5
62d3343ff5b8b9b2465b68369d7dce80,a37cf9f29e9f1de58195a7926718cca7,15ae2b9627becd5f2a8ae9c48471ef7c,7.0,20,7,1,125.81,122.58,1,0,0,1,329.9,3
aca96b69ba4057df4db12d4ca151c400,66c87d25828d3391f31eb04e585eaedd,234811afd212dd6c872ab11ca0eaf804,18.0,2,1,3,341.69,82.85,0,0,0,1,149.9,5
54066aeaaf3ac32e7bb6e45aa3bf65e4,1b20beda060687190d970f8dda262432,6a0fdc8625275b516a4cf721d28261f8,40.0,19,6,3,765.64,30.6,1,0,0,1,129.9,1
54066aeaaf3ac32e7bb6e45aa3bf65e4,1b20beda060687190d970f8dda262432,6a0fdc8625275b516a4cf721d28261f8,40.0,19,6,3,765.64,86.87,0,1,0,1,129.9,1
3a812c83660a31b9ff0abc06416a678e,2f71eb04dfd1947c57255b86d923716a,4d3d0e1f823dd1af8add9be0057115e7,17.0,1,6,3,,16.68,1,0,0,1,15.9,5
cae8bf54a0ecd79376aac899679de154,f8654118fdfe85e9e286165ac2f7f66a,c2cefab2637982f1c387a98842fde391,15.0,20,11,3,,61.07,1,0,0,1,38.4,4
1801c6babedcb89ced12ae5f6352f787,0055b522bc89cbfbf376d8b59a628470,9afb7d75b5d928401c32b979254afc13,13.0,23,3,2,3197.0,364.75,0,0,0,1,328.0,5
6b53b59d28af45f02a606d5ace41b854,9c339f12bc8355cffd6dc8ee37e90c5c,319e3c9ffdbeda213ed5d491e3166502,16.0,18,8,3,708.24,98.23,0,0,0,1,82.9,1
