order_id,customer_unique_id,customer_id,delivered_in_days,time_of_purchase,month_of_purchase,delivery_speed_flag,delivery_distance_in_km,installment_value,high_installment_flag,used_voucher,is_repeat_buyer,num_orders,total_purchase_value,review_score
a1e28dc56f8cf4e569b82f93dfe131f3,57f5a5b73f33d46349e142499aaf521d,bd49f912065ce38f6a946e382e29493b,10.0,4,9,1,534.32,49.1,1,1,0,1,55.6,4
a1e28dc56f8cf4e569b82f93dfe131f3,57f5a5b73f33d46349e142499aaf521d,bd49f912065ce38f6a946e382e29493b,10.0,4,9,1,534.32,22.65,1,0,0,1,55.6,4
f2941ef41efb5162199b15316b05ce3e,b54ed372f1aa8fd434c6ab8cff76ba58,628ad6ffbb4c46d6d1781bb4360ac2dc,9.0,6,5,1,977.11,25.92,1,0,0,1,180.0,5
46a1ac51daefad9fbb8e65caacd43539,fa1173f1413e96c58820e0d32e65599a,d304440f97ec08d781070a5daa6b38b7,15.0,2,7,3,679.23,141.26,0,0,0,1,102.8,3
46a1ac51daefad9fbb8e65caacd43539,fa1173f1413e96c58820e0d32e65599a,d304440f97ec08d781070a5daa6b38b7,15.0,2,7,3,679.23,141.26,0,0,0,1,102.8,3
502d7a6ef832644f5208f0af59e4c5bb,3eaa8bf1a8e95aa797a036c3369a12ff,402ca03ce492f1c7c5df7185b4599738,12.0,3,3,2,409.9,13.49,1,0,0,1,49.8,2
502d7a6ef832644f5208f0af59e4c5bb,3eaa8bf1a8e95aa797a036c3369a12ff,402ca03ce492f1c7c5df7185b4599738,12.0,3,3,2,409.9,13.49,1,0,0,1,49.8,2
74c13e4838eb5d8953b62b5f5feaf826,e88e2b9ff832fad39bfdd9dae2399443,0e9bbc469f18383158141848f6c51923,11.0,5,6,1,,25.07,1,0,0,1,52.9,4
a268b656281801419a238a044577dfb5,d998e9a42e33562ba68dc3a847b01ce0,e75b1e4100516a8b6b9490c674e71378,23.0,2,3,3,,297.64,0,0,0,1,269.0,4
368df49737936bddc9d47a700a1920b9,90bca2fe011b661a21dcc4cad869f165,ef3603c61b3afedf0cd74652a06dca96,8.0,11,8,1,356.98,23.3,1,0,0,1,69.9,1
4024e82961bfcec0a71869767cf923e9,a801b1e5d16adf3c07d624e3bc7bdfdc,294afaa4e6c7165445a7aec2b4f8f11e,12.0,20,6,2,1984.15,34.17,1,0,0,1,113.3,5
f419588594e9e500fbc4ff2138de9f53,09caadb9c8673125908bd447304316a1,7ad5a2ceca2e508196ba057b5fef8b19,3.0,19,3,1,,88.9,0,0,0,1,79.99,5
5347a7f07b3387d2dd23be64b9ceea32,b0cfd61a082c5c417a81a8bd30ffcce0,346299cd59e7a881a48a074d8cec5694,11.0,23,5,1,223.27,10.45,1,0,0,1,48.99,3
2634d2363b155e0d11a0f1ac0e7568cb,ef734dede0a85405134d1769816e0109,2e1e64ba1552ef64a0c3c4c29caddc35,1.0,16,4,1,,119.02,0,0,0,1,109.9,5
482a3e5009a4090348fe6f7d637a53a4,4c9f7850ecd8952525191c444fe9079a,d49cbdbee1c22fbbc2ac603f3c4f17fb,22.0,1,3,3,900.74,14.21,1,0,0,1,98.0,5
482a3e5009a4090348fe6f7d637a53a4,4c9f7850ecd8952525191c444fe9079a,d49cbdbee1c22fbbc2ac603f3c4f17fb,22.0,1,3,3,900.74,14.21,1,0,0,1,98.0,5
125e0c61fdbfc589f33683322310b7a9,0d29728b863178dbaeaa01daabdb6e2d,c9d1fb28967e8e78d71aa54853d56306,13.0,4,3,2,,176.88,0,0,0,1,115.96,4
125e0c61fdbfc589f33683322310b7a9,0d29728b863178dbaeaa01daabdb6e2d,c9d1fb28967e8e78d71aa54853d56306,13.0,4,3,2,,176.88,0,0,0,1,115.96,4
125e0c61fdbfc589f33683322310b7a9,0d29728b863178dbaeaa01daabdb6e2d,c9d1fb28967e8e78d71aa54853d56306,13.0,4,3,2,,176.88,0,0,0,1,115.96,4
125e0c61fdbfc589f33683322310b7a9,0d29728b863178dbaeaa01daabdb6e2d,c9d1fb28967e8e78d71aa54853d56306,13.0,4,3,2,,176.88,0,0,0,1,115.96,4
e45adf5c3dac199c3e6db68dc225d2cd,950ff1485a40b52c4f4d987c634fd4c9,40cdfa812f4db63989cac07cf9ecc2bb,11.0,22,3,1,354.49,12.57,1,0,0,1,23.2,5
e282dabaac0b31c7da8a0896fd56e7f3,4107febd1391556f3ff24e1f8f7cb5d4,63851348e2dae0893a180d516a13ebb3,44.0,1,11,3,2518.71,81.11,1,0,0,1,199.9,1
0d4a43cf7b7994e0a782864d075dc842,782dffac0f77aa5b5f950dffcf6e238a,967cb8f7540c4e9fa2bffaa0f8f1c63b,2.0,1,5,1,,37.38,1,0,0,1,29.99,5
eedb09f615e5d17f4367396623933751,930ff10207a0155e4d569dc1b66714c2,c5f864b059ed9bad0dff5b9e99220868,11.0,1,6,1,1578.25,149.5,0,0,0,1,126.12,5
e4517d1185ecc155fb8193a53f0e089a,bb1c832729bc5f1220b56e56e334bd55,4653546b86241aa601ccdc82ce9a2d91,5.0,2,2,1,551.55,44.09,1,0,0,1,29.99,1
6386b8aabb7f032b77475740cb035e86,55710afb01abb82b30e220af139ec878,aea419ca36368e77678b20a1867481c7,9.0,19,6,1,,1.92,1,0,0,1,85.8,2
6386b8aabb7f032b77475740cb035e86,55710afb01abb82b30e220af139ec878,aea419ca36368e77678b20a1867481c7,9.0,19,6,1,,100.0,0,1,0,1,85.8,2
6386b8aabb7f032b77475740cb035e86,55710afb01abb82b30e220af139ec878,aea419ca36368e77678b20a1867481c7,9.0,19,6,1,289.1,1.92,1,0,0,1,85.8,2
6386b8aabb7f032b77475740cb035e86,55710afb01abb82b30e220af139ec878,aea419ca36368e77678b20a1867481c7,9.0,19,6,1,289.1,100.0,0,1,0,1,85.8,2
b513b10ef81dc22d15e850789a8a96b1,8e45fca580e5130b6f912da95dcf3dd2,fa3c9c28979e812523cac4180cf5bbca,10.0,3,2,1,806.19,197.53,0,0,0,1,179.0,5
2d58f989c5e9344556ea2a9526699249,d9d377accc816fe2dd7cea89daefdbc3,1fc09040150013ea0ef014f02dcb4e97,9.0,18,10,1,,10.64,1,0,0,1,89.99,5
a92225110bfd8206a036f272ccf0fb1b,2c1e1a424b3426cfb207bc61849b4203,7f96cdc06aa0cfe77e71187d5035f22f,12.0,22,5,2,,22.41,1,0,0,1,49.0,5
7c4281b08578a1e5e13e56814b3c6123,70a8db6a5ae17c3a4e5df68bbeae451c,686ba249f6f98cc2610b58e5b9982e6a,6.0,22,7,1,476.27,17.5,1,0,0,1,157.0,5
f9b9c3c69ef08b6eda32ed086133abb6,c564843d3f0bceb0c0dfa56a3fb35299,2ee87cede5826cd6458393028d3ec739,5.0,23,2,1,142.27,19.55,1,0,0,1,48.9,5
e37ef4ac61b5803ac29b4056c8495108,f565c1cbc438d2561d40d780f1da28c5,3336317767e51b209329188eb22de872,17.0,17,11,3,1264.85,27.85,1,0,1,2,73.8,4
b80623966e8021f8f60984a3646abe70,b4203bc4574a50b169b7bd6583aeaf50,cdf78a4b4403020ccadf1c716f28e89c,10.0,21,8,1,,148.15,0,0,0,1,129.99,5
a97a2be3f668f7c6d75a218b2dba8720,52914e4c99a1d18136c96db53dec1852,c3494677ed240d91c99a1011ca05bbf9,15.0,20,8,3,1205.44,50.36,1,0,0,1,179.9,5
1d7f3280ef428fd4fb454e6d0d1fef43,3563c87d2f11fb5fc1a25236cf675abe,e587dd5e730f4af7337801d98bd17b6b,20.0,19,1,3,1288.97,10.73,1,0,0,1,58.9,2
d579ab4fe27352cb09cfa39a9e4f25f4,5127ad179e7992d6bd19b0107bfe3d60,4013e6a6ae8c0476d72909e1f5de3d70,14.0,20,1,3,,158.3,0,0,0,1,150.0,1
